CodLinea	DescLinea	Secuencia	CX	CY	CZNoComp	CZComp
1	Eje	1	1075206.298	1573308.72	65.7	65.7
1	Eje	2	1075458.298	1573308.72	65.4	65.4
1	Eje	3	1076050.746	1573308.72	65.4	64.7
1	Eje	4	1076302.746	1573308.72	65.1	64.4
2	Base izquierda	1	1075206.298	1573413.32	65.7	65.7
2	Base izquierda	2	1075458.298	1573413.32	65.4	65.4
2	Base izquierda	3	1076050.746	1573658.72	65.4	64.7
2	Base izquierda	4	1076302.746	1573658.72	65.1	64.4
3	Base derecha	1	1075206.298	1573204.12	65.7	65.7
3	Base derecha	2	1075458.298	1573204.12	65.4	65.4
3	Base derecha	3	1076050.746	1572958.72	65.4	64.7
3	Base derecha	4	1076302.746	1572958.72	65.1	64.4
4	Corona izquierda	1	1075206.3	1573455.3	68.7	68.7
4	Corona izquierda	2	1075458.3	1573455.3	68.4	68.4
4	Corona izquierda	3	1076050.7	1573673.7	68.4	67.7
4	Corona izquierda	4	1076302.7	1573673.7	68.1	67.4
5	Corona derecha	1	1075206.3	1573162.1	68.7	68.7
5	Corona derecha	2	1075458.3	1573162.1	68.4	68.4
5	Corona derecha	3	1076050.7	1572943.7	68.4	67.7
5	Corona derecha	4	1076302.7	1572943.7	68.1	67.4
6	Dominio TIN izquierda	1	1075206.3	1573799.72	68.7	68.7
6	Dominio TIN izquierda	2	1075458.3	1573799.72	68.4	68.4
6	Dominio TIN izquierda	3	1076050.7	1573799.72	68.4	67.7
6	Dominio TIN izquierda	4	1076302.7	1573799.72	68.1	67.4
7	Dominio TIN derecha	1	1075206.3	1572817.72	68.7	68.7
7	Dominio TIN derecha	2	1075458.3	1572817.72	68.4	68.4
7	Dominio TIN derecha	3	1076050.7	1572817.72	68.4	67.7
7	Dominio TIN derecha	4	1076302.7	1572817.72	68.1	67.4
